event,node,start,end
form start,,1596267549060,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596267549063,1596267552317
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596267552360,1596267556664
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596267556692,1596267593703
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596267593717,1596267605937
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596267605952,1596267607685
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596267607710,1596267614562
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596267614580,1596267615733
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596267615748,1596267616988
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596267617004,1596267620685
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596267620701,1596267625679
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596267625696,1596267626779
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596267626794,1596267627959
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596267627980,1596267635217
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596267635238,1596267662551
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596267662571,1596267668630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596267668647,1596267681896
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596267681908,1596267685323
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596267685347,1596267686682
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596267686705,1596267697765
