event,node,start,end
form start,,1596872671236,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596872671238,1596872672857
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596872672898,1596872673854
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596872673883,1596872674793
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596872674824,1596872675439
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596872675469,1596872677314
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596872677328,1596872683292
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596872683303,1596872686983
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596872687006,1596872889134
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596872889149,1596872890471
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596872890485,1596872896025
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596872896051,1596872900747
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596872900764,1596872903656
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596872903675,1596872914651
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596872914666,1596872917751
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596872917772,1596872926127
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596872926139,1596872929371
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596872929394,1596872934405
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596872934426,1596872943673
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596872943741,1596872947699
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596872947714,1596872948773
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596872948794,1596872950918
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596872950936,1596872963394
