event,node,start,end
form start,,1597310471180,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597310471182,1597310472212
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597310472253,1597310473363
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597310473397,1597310476504
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597310476519,1597310482426
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597310482438,1597310487546
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597310487563,1597310506878
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597310506898,1597310532150
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1597310532168,1597310534404
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597310534457,1597310536333
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597310536352,1597310539845
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1597310539861,1597310543038
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1597310543050,1597310544961
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597310544977,1597310548102
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597310548120,1597310556785
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597310556806,1597310558461
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597310558473,1597310561165
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597310561186,1597310564079
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597310564098,1597310567165
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597310567186,1597310584952
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597310584963,1597310586976
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597310586994,1597310588987
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597310589017,1597310597737
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1597310597753,1597310598629
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597310598654,1597310607796
