event,node,start,end
form start,,1596523272266,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596523272273,1596523274389
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596523274467,1596523275387
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596523275417,1596523408664
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596523408677,1596523426032
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596523426052,1596523427206
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596523427228,1596523474402
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596523474421,1596523478097
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596523478111,1596523479334
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596523479353,1596523500093
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596523500109,1596523501854
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596523501874,1596523520351
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596523520376,1596523522220
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596523522239,1596523524125
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596523524145,1596523539797
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596523539811,1596523541972
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596523541999,1596523542888
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596523542908,1596523544671
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596523544696,1596523547413
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596523547429,1596523556782
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596523556798,1596523564826
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596523564845,1596523565761
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596523565772,1596523572702
