event,node,start,end
form start,,1597141943216,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597141943217,1597141944209
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597141944224,1597141945422
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597141945434,1597141950800
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597141950811,1597141954358
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597141954369,1597141955546
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597141955557,1597141969332
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597141969344,1597141970623
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597141970634,1597141972647
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597141972660,1597141974114
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597141974127,1597141977012
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597141977023,1597141979618
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1597141979630,1597141981514
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597141981526,1597141985556
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597141985568,1597141990904
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597141990917,1597141996225
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597141996236,1597141999251
