event,node,start,end
form start,,1596183706054,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596183706061,1596183707813
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596183707948,1596183710409
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596183710442,1596183824815
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596183824827,1596183829565
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596183829589,1596183842228
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596183842249,1596183849580
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596183849599,1596183857415
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596183857434,1596183859052
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596183859070,1596183862526
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596183862545,1596183873277
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596183873295,1596183881556
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596183881573,1596183902616
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596183902638,1596183907479
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596183907500,1596183916335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596183916353,1596183929204
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596183929226,1596183934290
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596183934307,1596183936278
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596183936293,1596183942426
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_home_type,1596183942452,1596183947107
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_shelter_type,1596183947130,1596183948411
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596183948437,1596183965705
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596183965726,1596184008288
