event,node,start,end
form start,,1597481768795,
form resume,,1597482401644,
jump,,1597482401645,1597482406775
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597482406832,1597482409705
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597482409801,1597482416053
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597482416084,1597482417615
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597482417628,1597482482198
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597482482212,1597482482983
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597482482996,1597482485242
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597482485258,1597482587897
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597482587913,1597482589685
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597482589701,1597482597297
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a6_the_end,1597482597311,1597482598711
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597482598725,1597482600218
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597482600232,1597482601352
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597482601371,1597482609672
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597482609691,1597482610818
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597482610835,1597482612520
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1597482612535,1597482614074
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597482614090,1597482615262
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597482615280,1597482617787
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1597482617804,1597482620561
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597482620572,1597482622953
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1597482622966,1597482625121
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1597482625141,1597482627855
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597482627875,1597482631286
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597482631304,1597482680673
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597482680693,1597482682869
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597482682891,1597482716812
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597482716827,1597482718945
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597482718965,1597482720335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597482720359,1597482723189
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597482723208,1597482740572
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597482740595,1597482751407
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597482751459,1597482755377
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1597482755395,1597482756443
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1597482756468,1597482757987
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1597482758012,1597482782366
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1597482782382,1597482783040
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1597482783061,1597482784053
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597482784065,1597482785417
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597482785432,1597482786655
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597482786670,1597482789511
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597482789528,1597482791200
