event,node,start,end
form start,,1596624373835,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596624373837,1596624378913
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596624378987,1596624380116
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596624380129,1596624447731
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596624447740,1596624524578
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596624524586,1596624546028
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596624546038,1596624547073
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596624547081,1596624548096
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596624548104,1596624562677
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596624562687,1596624563802
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596624563813,1596624566410
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596624566420,1596624568467
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596624568478,1596624574352
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596624574362,1596624578697
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596624578708,1596624582409
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596624582419,1596624588816
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596624588825,1596624625704
