event,node,start,end
form start,,1596695691124,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596695691131,1596695698449
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596695698535,1596695700590
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596695700632,1596695818967
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596695818980,1596695998502
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596695998532,1596695999959
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596695999980,1596696012957
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596696012970,1596696060761
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1596696060774,1596696066747
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596696066764,1596696068030
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596696068045,1596696069998
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596696070012,1596696071109
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596696071125,1596696073734
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1596696073752,1596696079598
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1596696079613,1596696080748
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596696080769,1596696082726
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596696082746,1596696105097
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596696105210,1596696113148
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_1_hohh_chronic_illness_other,1596696113171,1596696122003
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596696122016,1596696136703
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_1_hohh_chronic_illness_other,1596696136714,1596696137819
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596696137836,1596696140631
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596696140653,1596696153819
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596696153833,1596696155487
