"","id_sampl","Survey","strata_id","adm4Pcode","adm4NameLat","adm2NameLat","adm1NameLat","Population_type","Population_UPD","TA4_SF","strata","Access_UPD_JUL2020","psu_id","pop_numbers","SumDist","proba","survey_buffer"
"1","id_1",56,"20km_urban","UKR1410200000","Avdiivka","Avdiivska","Donetska","urban",32436,"YES","20km_urban","Limited access","id_1",32436,210399,0.154164230818588,56
"2","id_10",9,"20km_urban","UKR1420955200","Zaitseve","Bakhmutskyi","Donetska","urban",3969,"YES","20km_urban","Limited access","id_10",3969,210399,0.0188641580996107,9
"3","id_100",5,"5km_rural","UKR1423384001","Kostiantynivka","Marinskyi","Donetska","rural",1300,"YES","5km_rural","","id_100",1300,89408,0.0145400858983536,5
"4","id_101",3,"5km_rural","UKR1422783201","Mykhailivka","Pokrovskyi","Donetska","rural",1269,"YES","5km_rural","","id_101",1269,89408,0.0141933607730852,3
"5","id_102",7,"5km_rural","UKR1421581401","Dmytrivka","Volnovaskyi","Donetska","rural",1196,"YES","5km_rural","","id_102",1196,89408,0.0133768790264853,7
"6","id_103",6,"5km_rural","UKR4423180701","Bakhmutivka","Novoaidarskyi","Luhanska","rural",1182,"YES","5km_rural","","id_103",1182,89408,0.0132202934860415,6
"7","id_104",4,"5km_rural","UKR4424881001","Velyka Chernihivka","Stanychno-Luhanskyi","Luhanska","rural",1181,"YES","5km_rural","","id_104",1181,89408,0.0132091088045812,4
"8","id_105",8,"5km_rural","UKR1420980501","Berestove","Bakhmutskyi","Donetska","rural",1122,"YES","5km_rural","","id_105",1122,89408,0.0125492125984252,8
"9","id_106",1,"5km_rural","UKR1420982001","Volodymyrivka","Bakhmutskyi","Donetska","rural",1121,"YES","5km_rural","","id_106",1121,89408,0.0125380279169649,1
"10","id_107",3,"5km_rural","UKR1420987501","Pokrovske","Bakhmutskyi","Donetska","rural",1092,"YES","5km_rural","","id_107",1092,89408,0.012213672154617,3
"11","id_109",8,"5km_rural","UKR1423383501","Katerynivka","Marinskyi","Donetska","rural",1066,"YES","5km_rural","","id_109",1066,89408,0.01192287043665,8
"12","id_11",2,"20km_urban","UKR1425555200","Verkhnotoretske","Yasynuvatskyi","Donetska","urban",2884,"YES","20km_urban","Limited access","id_11",2884,210399,0.013707289483315,2
"13","id_110",4,"5km_urban","UKR1411246800","Petrivka","Toretska","Donetska","urban",1040,"YES","5km_urban","","id_110",1040,230712,0.00450778459724678,4
"14","id_111",3,"5km_rural","UKR1423385401","Novoselydivka","Marinskyi","Donetska","rural",999,"YES","5km_rural","","id_111",999,89408,0.0111734967788117,3
"15","id_112",2,"5km_rural","UKR1422482301","Zoria","Kostiantynivskyi","Donetska","rural",976,"YES","5km_rural","","id_112",976,89408,0.0109162491052255,2
"16","id_113",6,"5km_rural","UKR1421589203","Kamianka","Volnovaskyi","Donetska","rural",955,"YES","5km_rural","","id_113",955,89408,0.0106813707945598,6
"17","id_114",6,"5km_rural","UKR4423185601","Novookhtyrka","Novoaidarskyi","Luhanska","rural",935,"YES","5km_rural","","id_114",935,89408,0.0104576771653543,6
"18","id_115",3,"5km_rural","UKR4424886001","Sotenne","Stanychno-Luhanskyi","Luhanska","rural",930,"YES","5km_rural","","id_115",930,89408,0.010401753758053,3
"19","id_116",2,"5km_rural","UKR1421589201","Novoselivka","Volnovaskyi","Donetska","rural",923,"YES","5km_rural","","id_116",923,89408,0.0103234609878311,2
"20","id_117",7,"5km_rural","UKR1423381101","Halytsynivka","Marinskyi","Donetska","rural",895,"YES","5km_rural","","id_117",895,89408,0.0100102899069434,7
"21","id_118",1,"5km_urban","UKR4423856200","Vrubivka","Popasnianskyi","Luhanska","urban",894,"YES","5km_urban","","id_118",894,230712,0.0038749609903256,1
"22","id_119",3,"5km_rural","UKR1421581201","Valerianivka","Volnovaskyi","Donetska","rural",891,"YES","5km_rural","","id_119",891,89408,0.00996555118110236,3
"23","id_12",35,"20km_rural","UKR1421588801","Hranitne","Volnovaskyi","Donetska","rural",2856,"YES","20km_rural","Limited access","id_12",2856,34781,0.0821137977631465,35
"24","id_120",5,"5km_rural","UKR1421587202","Blyzhnie","Volnovaskyi","Donetska","rural",891,"YES","5km_rural","","id_120",891,89408,0.00996555118110236,5
"25","id_121",3,"5km_rural","UKR1420983001","Zaitseve","Bakhmutskyi","Donetska","rural",890,"YES","5km_rural","","id_121",890,89408,0.00995436649964209,3
"26","id_122",4,"5km_rural","UKR1425583201","Novoselivka Persha","Yasynuvatskyi","Donetska","rural",879,"YES","5km_rural","","id_122",879,89408,0.0098313350035791,4
"27","id_123",7,"5km_rural","UKR1425584301","Orlivka","Yasynuvatskyi","Donetska","rural",874,"YES","5km_rural","","id_123",874,89408,0.00977541159627774,7
"28","id_124",5,"5km_rural","UKR4424885001","Peredilske","Stanychno-Luhanskyi","Luhanska","rural",866,"YES","5km_rural","","id_124",866,89408,0.00968593414459556,5
"29","id_125",2,"5km_rural","UKR1421583702","Kalynivka","Volnovaskyi","Donetska","rural",863,"YES","5km_rural","","id_125",863,89408,0.00965238010021475,2
"30","id_126",1,"5km_urban","UKR4412945300","Voronove","Sievierodonetska","Luhanska","urban",836,"YES","5km_urban","","id_126",836,230712,0.00362356531086376,1
"31","id_127",2,"5km_rural","UKR1421783302","Makedonivka","Nikolskyi","Donetska","rural",817,"YES","5km_rural","","id_127",817,89408,0.00913788475304223,2
"32","id_128",2,"5km_rural","UKR1422480501","Oleksandro-Kalynove","Kostiantynivskyi","Donetska","rural",817,"YES","5km_rural","","id_128",817,89408,0.00913788475304223,2
"33","id_129",4,"5km_rural","UKR1422480503","Yablunivka","Kostiantynivskyi","Donetska","rural",811,"YES","5km_rural","","id_129",811,89408,0.0090707766642806,4
"34","id_13",7,"20km_urban","UKR1420955400","Luhanske","Bakhmutskyi","Donetska","urban",2177,"YES","20km_urban","Limited access","id_13",2177,210399,0.0103470073526965,7
"35","id_130",5,"5km_rural","UKR4424884501","Nyzhnia Vilkhova","Stanychno-Luhanskyi","Luhanska","rural",802,"YES","5km_rural","","id_130",802,89408,0.00897011453113815,5
"36","id_131",5,"5km_rural","UKR1425585403","Netailove","Yasynuvatskyi","Donetska","rural",800,"YES","5km_rural","","id_131",800,89408,0.00894774516821761,5
"37","id_132",4,"5km_rural","UKR4424885501","Teple","Stanychno-Luhanskyi","Luhanska","rural",798,"YES","5km_rural","","id_132",798,89408,0.00892537580529706,4
